season,fpl_id,first_name,second_name,full_name,web_name,team_id,element_type
2324,6,Kai,Havertz,Kai Havertz,Havertz,1,3
2324,8,Gabriel,Fernando de Jesus,Gabriel Fernando de Jesus,G.Jesus,1,4
2324,9,Jorge Luiz,Frello Filho,Jorge Luiz Frello Filho,Jorginho,1,3
2324,10,Jakub,Kiwior,Jakub Kiwior,Kiwior,1,2
2324,11,Marcus,Oliveira Alencar,Marcus Oliveira Alencar,Marquinhos,1,3
2324,12,Gabriel,Martinelli Silva,Gabriel Martinelli Silva,Martinelli,1,3
2122,442,Joe,Rodon,Joe Rodon,Rodon,18,2
2021,451,Issa,Diop,Issa Diop,Diop,19,2
2021,452,Ben,Johnson,Ben Johnson,Johnson,19,2
2021,558,Vladimir,Coufal,Vladimir Coufal,Coufal,19,2
2021,576,Craig,Dawson,Craig Dawson,Dawson,19,2
2021,587,SaÃ¯d,Benrahma,SaÃ¯d Benrahma,Benrahma,19,3
2021,637,Frederik,Alves,Frederik Alves,Alves,19,2
2021,638,Ademipo,Odubeko,Ademipo Odubeko,Odubeko,19,4
2021,668,Conor,Coventry,Conor Coventry,Coventry,19,3
2021,669,Jamal,Baptiste,Jamal Baptiste,Baptiste,19,2
2021,674,Nathan,Trott,Nathan Trott,Trott,19,1
2021,453,John,Ruddy,John Ruddy,Ruddy,20,1
2021,454,JoÃ£o Filipe Iria,Santos Moutinho,JoÃ£o Filipe Iria Santos Moutinho,Moutinho,20,3
2021,456,Ryan,Bennett,Ryan Bennett,Bennett,20,2
1718,6,Gabriel Armando,de Abreu,Gabriel Armando de Abreu,Gabriel,1,2
2324,13,Eddie,Nketiah,Eddie Nketiah,Nketiah,1,4
2324,14,Martin,Ødegaard,Martin Ødegaard,Ødegaard,1,3
2324,15,Thomas,Partey,Thomas Partey,Thomas,1,3
2324,16,Nicolas,Pépé,Nicolas Pépé,Pepe,1,3
2324,17,Aaron,Ramsdale,Aaron Ramsdale,Ramsdale,1,1
2324,18,Rúnar Alex,Rúnarsson,Rúnar Alex Rúnarsson,Rúnarsson,1,1
2324,19,Bukayo,Saka,Bukayo Saka,Saka,1,3
2324,20,William,Saliba,William Saliba,Saliba,1,2
2324,22,Emile,Smith Rowe,Emile Smith Rowe,Smith Rowe,1,3
2324,24,Kieran,Tierney,Kieran Tierney,Tierney,1,2
2324,25,Takehiro,Tomiyasu,Takehiro Tomiyasu,Tomiyasu,1,2
2324,26,Leandro,Trossard,Leandro Trossard,Trossard,1,3
2324,29,Benjamin,White,Benjamin White,White,1,2
2324,30,Granit,Xhaka,Granit Xhaka,Xhaka,1,3
2324,31,Oleksandr,Zinchenko,Oleksandr Zinchenko,Zinchenko,1,2
2324,113,David,Raya Martin,David Raya Martin,Raya,1,1
2324,540,Declan,Rice,Declan Rice,Rice,1,3
2324,578,Reiss,Nelson,Reiss Nelson,Nelson,1,3
2324,585,Jurriën,Timber,Jurriën Timber,J.Timber,1,2
2324,646,Karl,Hein,Karl Hein,Hein,1,1
2324,735,Charles,Sagoe,Charles Sagoe,Sagoe,1,3
2324,736,Reuell,Walters,Reuell Walters,Walters,1,2
2324,737,Bradley,Ibrahim,Bradley Ibrahim,Ibrahim,1,3
2324,764,Myles,Lewis-Skelly,Myles Lewis-Skelly,Lewis-Skelly,1,3
2324,772,Ethan,Nwaneri,Ethan Nwaneri,Nwaneri,1,3
2324,815,Mauro,Bandeira,Mauro Bandeira,Bandeira,1,3
1819,180,Tim,Ream,Tim Ream,Ream,9,2
1920,1,Shkodran,Mustafi,Shkodran Mustafi,Mustafi,1,2
1920,2,HÃ©ctor,BellerÃ­n,HÃ©ctor BellerÃ­n,BellerÃ­n,1,2
1920,3,Sead,Kolasinac,Sead Kolasinac,Kolasinac,1,2
1920,4,Ainsley,Maitland-Niles,Ainsley Maitland-Niles,Maitland-Niles,1,2
1920,5,Sokratis,Papastathopoulos,Sokratis Papastathopoulos,Sokratis,1,2
1920,6,Nacho,Monreal,Nacho Monreal,Monreal,1,2
1920,7,Laurent,Koscielny,Laurent Koscielny,Koscielny,1,2
1920,8,Konstantinos,Mavropanos,Konstantinos Mavropanos,Mavropanos,1,2
1920,9,Carl,Jenkinson,Carl Jenkinson,Jenkinson,1,2
1920,10,Rob,Holding,Rob Holding,Holding,1,2
1920,11,Pierre-Emerick,Aubameyang,Pierre-Emerick Aubameyang,Aubameyang,1,4
1920,12,Alexandre,Lacazette,Alexandre Lacazette,Lacazette,1,4
1920,13,Edward,Nketiah,Edward Nketiah,Nketiah,1,4
1920,14,Bernd,Leno,Bernd Leno,Leno,1,1
1920,15,Mesut,Ãzil,Mesut Ãzil,Ãzil,1,3
1920,16,Henrikh,Mkhitaryan,Henrikh Mkhitaryan,Mkhitaryan,1,3
1920,18,Granit,Xhaka,Granit Xhaka,Xhaka,1,3
1920,19,Lucas,Torreira,Lucas Torreira,Torreira,1,3
1920,20,Mohamed,Elneny,Mohamed Elneny,Elneny,1,3
1920,21,Matteo,Guendouzi,Matteo Guendouzi,Guendouzi,1,3
1920,106,David,Luiz Moreira Marinho,David Luiz Moreira Marinho,David Luiz,1,2
1920,427,Emiliano,MartÃ­nez,Emiliano MartÃ­nez,MartÃ­nez,1,1
1920,467,Calum,Chambers,Calum Chambers,Chambers,1,2
1920,469,Daniel,Ceballos FernÃ¡ndez,Daniel Ceballos FernÃ¡ndez,Ceballos,1,3
1920,486,CÃ©dric,Soares,CÃ©dric Soares,CÃ©dric,1,2
1920,488,Nicolas,PÃ©pÃ©,Nicolas PÃ©pÃ©,PÃ©pÃ©,1,3
1920,489,Reiss,Nelson,Reiss Nelson,Nelson,1,3
1920,490,Joseph,Willock,Joseph Willock,Willock,1,3
1920,504,Gabriel Teodoro,Martinelli Silva,Gabriel Teodoro Martinelli Silva,Martinelli,1,4
1920,515,Kieran,Tierney,Kieran Tierney,Tierney,1,2
1920,541,Bukayo,Saka,Bukayo Saka,Saka,1,3
1920,576,Emile,Smith Rowe,Emile Smith Rowe,Smith Rowe,1,3
1920,585,Tyreece,John-Jules,Tyreece John-Jules,John-Jules,1,4
1920,617,Pablo,MarÃ­,Pablo MarÃ­,MarÃ­,1,2
1920,636,Zech,Medley,Zech Medley,Medley,1,2
1920,646,Matt,Macey,Matt Macey,Macey,1,1
1920,647,Matthew,Smith,Matthew Smith,Smith,1,2
1920,22,Ahmed,El Mohamady,Ahmed El Mohamady,El Mohamady,2,2
2324,392,Scott,McTominay,Scott McTominay,McTominay,14,3
2425,1,Fábio,Ferreira Vieira,Fábio Ferreira Vieira,Fábio Vieira,1,3
2425,2,Gabriel,Fernando de Jesus,Gabriel Fernando de Jesus,G.Jesus,1,4
2425,3,Gabriel,dos Santos Magalhães,Gabriel dos Santos Magalhães,Gabriel,1,2
2425,4,Kai,Havertz,Kai Havertz,Havertz,1,4
2425,5,Karl,Hein,Karl Hein,Hein,1,1
2425,6,Jurriën,Timber,Jurriën Timber,J.Timber,1,2
2425,7,Jorge Luiz,Frello Filho,Jorge Luiz Frello Filho,Jorginho,1,3
2425,8,Jakub,Kiwior,Jakub Kiwior,Kiwior,1,2
2425,9,Gabriel,Martinelli Silva,Gabriel Martinelli Silva,Martinelli,1,3
2425,12,Ethan,Nwaneri,Ethan Nwaneri,Nwaneri,1,3
2425,13,Martin,Ødegaard,Martin Ødegaard,Ødegaard,1,3
2425,15,David,Raya Martin,David Raya Martin,Raya,1,1
2425,16,Declan,Rice,Declan Rice,Rice,1,3
2425,17,Bukayo,Saka,Bukayo Saka,Saka,1,3
2425,18,William,Saliba,William Saliba,Saliba,1,2
2425,20,Thomas,Partey,Thomas Partey,Thomas,1,3
2425,21,Kieran,Tierney,Kieran Tierney,Tierney,1,2
2425,22,Tomiyasu,Takehiro,Tomiyasu Takehiro,Tomiyasu,1,2
2425,23,Leandro,Trossard,Leandro Trossard,Trossard,1,3
2425,24,Benjamin,White,Benjamin White,White,1,2
2425,25,Oleksandr,Zinchenko,Oleksandr Zinchenko,Zinchenko,1,2
2425,73,Norberto,Murara Neto,Norberto Murara Neto,Neto,1,1
2425,186,Raheem,Sterling,Raheem Sterling,Sterling,1,3
2425,578,Riccardo,Calafiori,Riccardo Calafiori,Calafiori,1,2
2021,1,Mesut,Ãzil,Mesut Ãzil,Ãzil,1,3
2021,2,Sokratis,Papastathopoulos,Sokratis Papastathopoulos,Sokratis,1,2
2021,3,David,Luiz Moreira Marinho,David Luiz Moreira Marinho,David Luiz,1,2
2021,4,Pierre-Emerick,Aubameyang,Pierre-Emerick Aubameyang,Aubameyang,1,3
2425,789,Sean,Neave,Sean Neave,Neave,15,4
2122,3,Granit,Xhaka,Granit Xhaka,Xhaka,1,3
2122,4,Mohamed,Elneny,Mohamed Elneny,Elneny,1,3
2122,5,Rob,Holding,Rob Holding,Holding,1,2
2122,6,Thomas,Partey,Thomas Partey,Partey,1,3
2122,7,Martin,Ødegaard,Martin Ødegaard,Ødegaard,1,3
2122,8,Kieran,Tierney,Kieran Tierney,Tierney,1,2
2122,9,Nicolas,Pépé,Nicolas Pépé,Pépé,1,3
2122,10,Benjamin,White,Benjamin White,White,1,2
2122,11,Eddie,Nketiah,Eddie Nketiah,Nketiah,1,4
2122,12,Emile,Smith Rowe,Emile Smith Rowe,Smith Rowe,1,3
2122,13,Bukayo,Saka,Bukayo Saka,Saka,1,3
2122,14,Takehiro,Tomiyasu,Takehiro Tomiyasu,Tomiyasu,1,2
2122,15,Aaron,Ramsdale,Aaron Ramsdale,Ramsdale,1,1
2122,16,Gabriel,dos Santos Magalhães,Gabriel dos Santos Magalhães,Gabriel,1,2
2122,17,Nuno,Varela Tavares,Nuno Varela Tavares,Tavares,1,2
2122,19,Gabriel,Martinelli Silva,Gabriel Martinelli Silva,Martinelli,1,3
2122,20,Pablo,Marí Villar,Pablo Marí Villar,Pablo Marí,1,2
2122,22,Lucas,Torreira di Pascua,Lucas Torreira di Pascua,Torreira,1,3
2122,23,Reiss,Nelson,Reiss Nelson,Nelson,1,3
2122,24,Matt,Turner,Matt Turner,Turner,1,1
2122,25,Fábio,Ferreira Vieira,Fábio Ferreira Vieira,Fábio Vieira,1,3
2122,26,William,Saliba,William Saliba,Saliba,1,2
2122,27,Marcus,Oliveira Alencar,Marcus Oliveira Alencar,Marquinhos,1,3
2122,28,Gabriel,Fernando de Jesus,Gabriel Fernando de Jesus,Jesus,1,4
2122,111,Leandro,Trossard,Leandro Trossard,Trossard,1,3
2122,130,Jorge Luiz,Frello Filho,Jorge Luiz Frello Filho,Jorginho,1,3
2122,313,Oleksandr,Zinchenko,Oleksandr Zinchenko,Zinchenko,1,2
2122,607,Matthew,Smith,Matthew Smith,Smith,1,3
2122,630,Ethan,Nwaneri,Ethan Nwaneri,Nwaneri,1,3
2122,631,Lino,Sousa,Lino Sousa,Sousa,1,2
2122,655,Karl,Hein,Karl Hein,Hein,1,1
2122,668,Amario,Cozier-Duberry,Amario Cozier-Duberry,Cozier-Duberry,1,3
2122,685,Nathan,Butler-Oyedeji,Nathan Butler-Oyedeji,Butler-Oyedeji,1,4
2122,710,Jakub,Kiwior,Jakub Kiwior,Kiwior,1,2
2122,751,Reuell,Walters,Reuell Walters,Walters,1,2
2122,767,Mauro,Bandeira,Mauro Bandeira,Bandeira,1,3
2122,29,Philippe,Coutinho Correia,Philippe Coutinho Correia,Coutinho,2,3
2122,31,Emiliano,Martínez Romero,Emiliano Martínez Romero,Martínez,2,1
2122,32,Calum,Chambers,Calum Chambers,Chambers,2,2
2122,33,Lucas,Digne,Lucas Digne,Digne,2,2
2122,34,Bertrand,Traoré,Bertrand Traoré,Traoré,2,3
2122,35,Robin,Olsen,Robin Olsen,Olsen,2,1
2122,36,Morgan,Sanson,Morgan Sanson,Sanson,2,3
2122,37,John,McGinn,John McGinn,McGinn,2,3
2122,38,Kortney,Hause,Kortney Hause,Hause,2,2
2122,39,Tyrone,Mings,Tyrone Mings,Mings,2,2
2122,40,Ollie,Watkins,Ollie Watkins,Watkins,2,4
2122,41,Marvelous,Nakamba,Marvelous Nakamba,Nakamba,2,3
2122,42,Emiliano,Buendía Stati,Emiliano Buendía Stati,Buendía,2,3
2122,43,Matty,Cash,Matty Cash,Cash,2,2
2122,44,Ezri,Konsa Ngoyo,Ezri Konsa Ngoyo,Konsa,2,2
2122,45,Leon,Bailey,Leon Bailey,Bailey,2,3
2122,46,Douglas Luiz,Soares de Paulo,Douglas Luiz Soares de Paulo,Douglas Luiz,2,3
2122,47,Jacob,Ramsey,Jacob Ramsey,Ramsey,2,3
2122,49,Tim,Iroegbunam,Tim Iroegbunam,Iroegbunam,2,3
1617,1,David,Ospina,David Ospina,Ospina,1,1
2122,50,Diego Carlos,Santos Silva,Diego Carlos Santos Silva,Diego Carlos,2,2
2122,51,Anwar,El Ghazi,Anwar El Ghazi,El Ghazi,2,3
2122,52,Keinan,Davis,Keinan Davis,Davis,2,4
2122,53,Boubacar,Kamara,Boubacar Kamara,Kamara,2,3
2122,54,Cameron,Archer,Cameron Archer,Archer,2,4
2122,55,Jaden,Philogene-Bidace,Jaden Philogene-Bidace,Philogene-Bidace,2,3
2122,56,Frédéric,Guilbert,Frédéric Guilbert,Guilbert,2,2
2122,479,Leander,Dendoncker,Leander Dendoncker,Dendoncker,2,3
2122,525,Ludwig,Augustinsson,Ludwig Augustinsson,Augustinsson,2,2
2122,537,Kaine,Kesler Hayden,Kaine Kesler Hayden,Kesler Hayden,2,2
2122,538,Ashley,Young,Ashley Young,Young,2,2
2122,638,Lamare,Bogarde,Lamare Bogarde,Bogarde,2,2
2122,670,Filip,Marschall,Filip Marschall,Marschall,2,1
2122,672,Kadan,Young,Kadan Young,Kadan Young,2,3
2122,694,Alexandre,Moreno Lopera,Alexandre Moreno Lopera,Álex Moreno,2,2
2122,707,Viljami,Sinisalo,Viljami Sinisalo,Sinisalo,2,1
2122,711,Jhon,Durán,Jhon Durán,Durán,2,4
2122,744,Sil,Swinkels,Sil Swinkels,Swinkels,2,2
2122,745,Oliwier,Zych,Oliwier Zych,Zych,2,1
2122,753,James,Wright,James Wright,Wright,2,1
2122,754,Sebastian,Revan,Sebastian Revan,Revan,2,2
2122,755,Travis,Patterson,Travis Patterson,Patterson,2,3
2122,761,Tommi,O'Reilly,Tommi O'Reilly,O'Reilly,2,3
2122,57,Adam,Smith,Adam Smith,Smith,3,2
2122,58,Junior,Stanislas,Junior Stanislas,Stanislas,3,3
2122,59,Ryan,Fredericks,Ryan Fredericks,Fredericks,3,2
2122,60,David,Brooks,David Brooks,Brooks,3,3
2122,61,Jamal,Lowe,Jamal Lowe,Lowe,3,3
2122,62,Kieffer,Moore,Kieffer Moore,Moore,3,4
2122,63,Emiliano,Marcondes,Emiliano Marcondes,Marcondes,3,3
2122,64,Jefferson,Lerma Solís,Jefferson Lerma Solís,Lerma,3,3
2122,65,Jack,Stacey,Jack Stacey,Stacey,3,2
2122,66,Dominic,Solanke,Dominic Solanke,Solanke,3,4
2122,67,Lewis,Cook,Lewis Cook,Cook,3,3
2122,68,Ben,Pearson,Ben Pearson,Pearson,3,3
2122,69,Ryan,Christie,Ryan Christie,Christie,3,3
2122,71,Chris,Mepham,Chris Mepham,Mepham,3,2
2122,72,Mark,Travers,Mark Travers,Travers,3,1
2122,73,Lloyd,Kelly,Lloyd Kelly,Kelly,3,2
2122,74,Siriki,Dembélé,Siriki Dembélé,Dembélé,3,3
2122,75,Jaidon,Anthony,Jaidon Anthony,Anthony,3,3
2122,76,Jordan,Zemura,Jordan Zemura,Zemura,3,2
2122,77,Will,Dennis,Will Dennis,Dennis,3,1
2122,404,Jack,Stephens,Jack Stephens,Stephens,3,2
2122,505,Joe,Rothwell,Joe Rothwell,Rothwell,3,3
2122,535,Marcus,Tavernier,Marcus Tavernier,Tavernier,3,3
2122,539,James,Hill,James Hill,Hill,3,2
2122,571,Darren,Randolph,Darren Randolph,Randolph,3,1
2122,574,Norberto,Murara Neto,Norberto Murara Neto,Neto,3,1
2122,576,Marcos,Senesi,Marcos Senesi,Senesi,3,2
2122,597,Christian,Saydee,Christian Saydee,Saydee,3,4
2122,598,Owen,Bevan,Owen Bevan,Bevan,3,2
2122,649,Cameron,Plain,Cameron Plain,Plain,3,1
2122,695,Daniel,Adu-Adjei,Daniel Adu-Adjei,Adu-Adjei,3,4
2122,696,Michael,Dacosta Gonzalez,Michael Dacosta Gonzalez,Dacosta Gonzalez,3,3
2122,697,Dominic,Sadi,Dominic Sadi,Sadi,3,4
2122,705,Dango,Ouattara,Dango Ouattara,Ouattara,3,3
2122,706,Euan,Pollock,Euan Pollock,Pollock,3,4
2122,714,Antoine,Semenyo,Antoine Semenyo,Semenyo,3,4
2122,718,Matías,Viña,Matías Viña,Viña,3,2
2122,722,Illia,Zabarnyi,Illia Zabarnyi,Zabarnyi,3,2
2122,723,Hamed,Traorè,Hamed Traorè,H.Traorè,3,3
2122,737,Ben,Greenwood,Ben Greenwood,Greenwood,3,2
2122,738,Max,Kinsey-Wellings,Max Kinsey-Wellings,Kinsey-Wellings,3,2
2122,78,Pontus,Jansson,Pontus Jansson,Jansson,4,2
2122,79,Christian,Nørgaard,Christian Nørgaard,Nørgaard,4,3
2122,80,Ivan,Toney,Ivan Toney,Toney,4,4
2122,81,David,Raya Martin,David Raya Martin,Raya,4,1
2122,82,Sergi,Canós Tenés,Sergi Canós Tenés,Canós,4,2
2122,83,Josh,Dasilva,Josh Dasilva,Dasilva,4,3
2122,84,Kristoffer,Ajer,Kristoffer Ajer,Ajer,4,2
2122,85,Rico,Henry,Rico Henry,Henry,4,2
2122,86,Vitaly,Janelt,Vitaly Janelt,Janelt,4,3
2122,87,Saman,Ghoddos,Saman Ghoddos,Ghoddos,4,3
2122,88,Mathias,Jensen,Mathias Jensen,Jensen,4,3
2122,89,Yoane,Wissa,Yoane Wissa,Wissa,4,3
2122,90,Mads,Roerslev Rasmussen,Mads Roerslev Rasmussen,Roerslev,4,2
2122,91,Mads,Bech Sørensen,Mads Bech Sørensen,Bech,4,2
2122,92,Ethan,Pinnock,Ethan Pinnock,Pinnock,4,2
2122,93,Frank,Onyeka,Frank Onyeka,Onyeka,4,3
2122,94,Shandon,Baptiste,Shandon Baptiste,Baptiste,4,3
2122,95,Bryan,Mbeumo,Bryan Mbeumo,Mbeumo,4,4
2122,96,Charlie,Goode,Charlie Goode,Goode,4,2
2122,97,Marcus,Forss,Marcus Forss,Forss,4,4
2122,98,Dominic,Thompson,Dominic Thompson,Thompson,4,2
2122,99,Mads,Bidstrup,Mads Bidstrup,Bidstrup,4,3
2122,100,Ellery,Balcombe,Ellery Balcombe,Balcombe,4,1
2122,510,Aaron,Hickey,Aaron Hickey,Hickey,4,2
2122,515,Keane,Lewis-Potter,Keane Lewis-Potter,Lewis-Potter,4,3
2122,517,Thomas,Strakosha,Thomas Strakosha,Strakosha,4,1
2122,540,Fin,Stevens,Fin Stevens,Stevens,4,2
2122,541,Halil,Dervişoğlu,Halil Dervişoğlu,Dervişoğlu,4,4
2122,580,Mikkel,Damsgaard,Mikkel Damsgaard,Damsgaard,4,3
2122,595,Mathias,Jorgensen,Mathias Jorgensen,Zanka,4,2
2122,632,Ryan,Trevitt,Ryan Trevitt,Trevitt,4,3
2122,633,Matthew,Cox,Matthew Cox,Cox,4,1
2122,646,Tristan,Crama,Tristan Crama,Crama,4,2
2122,650,Yegor,Yarmolyuk,Yegor Yarmolyuk,Yarmolyuk,4,3
2122,688,Kevin,Schade,Kevin Schade,Schade,4,3
2122,752,Michael,Olakigbe,Michael Olakigbe,Olakigbe,4,3
2122,101,Adam,Lallana,Adam Lallana,Lallana,5,3
2122,102,Jason,Steele,Jason Steele,Steele,5,1
2122,103,Danny,Welbeck,Danny Welbeck,Welbeck,5,4
2122,104,Pascal,Groß,Pascal Groß,Groß,5,3
2122,106,Lewis,Dunk,Lewis Dunk,Dunk,5,2
2122,107,Solly,March,Solly March,March,5,3
2122,108,Adam,Webster,Adam Webster,Webster,5,2
2122,109,Joël,Veltman,Joël Veltman,Veltman,5,2
2122,113,Robert,Sánchez,Robert Sánchez,Sánchez,5,1
2122,114,Tariq,Lamptey,Tariq Lamptey,Lamptey,5,2
2122,115,Steven,Alzate,Steven Alzate,Alzate,5,3
2122,70,Philip,Billing,Philip Billing,Billing,3,3
2122,116,Alexis,Mac Allister,Alexis Mac Allister,Mac Allister,5,3
2122,117,Jakub,Moder,Jakub Moder,Moder,5,3
2122,118,Enock,Mwepu,Enock Mwepu,Mwepu,5,3
2122,119,Jeremy,Sarmiento Morante,Jeremy Sarmiento Morante,Sarmiento,5,3
2122,120,Moisés,Caicedo Corozo,Moisés Caicedo Corozo,Caicedo,5,3
2122,121,Taylor,Richards,Taylor Richards,Richards,5,3
2122,122,Haydon,Roberts,Haydon Roberts,Roberts,5,2
2122,123,Deniz,Undav,Deniz Undav,Undav,5,4
2122,124,Kaoru,Mitoma,Kaoru Mitoma,Mitoma,5,3
2122,125,Julio,Enciso,Julio Enciso,Enciso,5,4
2122,126,Kacper,Kozłowski,Kacper Kozłowski,Kozłowski,5,3
2122,149,Billy,Gilmour,Billy Gilmour,Gilmour,5,3
2122,542,Kjell,Scherpen,Kjell Scherpen,Scherpen,5,1
2122,543,Matt,Clarke,Matt Clarke,Clarke,5,2
2122,719,Yasin,Ayari,Yasin Ayari,Ayari,5,3
2122,736,Odeluga,Offiah,Odeluga Offiah,Offiah,5,2
2122,756,Tom,McGill,Tom McGill,McGill,5,1
2122,762,Cameron,Peupion,Cameron Peupion,Peupion,5,3
2122,765,Imari,Samuels,Imari Samuels,Samuels,5,2
2122,48,Carney,Chukwuemeka,Carney Chukwuemeka,Chukwuemeka,6,3
2122,112,Marc,Cucurella Saseta,Marc Cucurella Saseta,Cucurella,6,2
2122,127,César,Azpilicueta,César Azpilicueta,Azpilicueta,6,2
2122,128,Thiago,Emiliano da Silva,Thiago Emiliano da Silva,Thiago Silva,6,2
2122,129,Marcos,Alonso,Marcos Alonso,Alonso,6,2
2122,131,Ross,Barkley,Ross Barkley,Barkley,6,3
2122,132,Mateo,Kovacic,Mateo Kovacic,Kovacic,6,3
2122,133,Kepa,Arrizabalaga,Kepa Arrizabalaga,Arrizabalaga,6,1
2122,134,N'Golo,Kanté,N'Golo Kanté,Kanté,6,3
2122,135,Hakim,Ziyech,Hakim Ziyech,Ziyech,6,3
2122,136,Ruben,Loftus-Cheek,Ruben Loftus-Cheek,Loftus-Cheek,6,3
2122,137,Timo,Werner,Timo Werner,Werner,6,4
2122,138,Robert Kenedy,Nunes do Nascimento,Robert Kenedy Nunes do Nascimento,Kenedy,6,2
2122,139,Ben,Chilwell,Ben Chilwell,Chilwell,6,2
2122,140,Christian,Pulisic,Christian Pulisic,Pulisic,6,3
2122,141,Trevoh,Chalobah,Trevoh Chalobah,Chalobah,6,2
2122,142,Mason,Mount,Mason Mount,Mount,6,3
