gameweek,player_id,name,position,price,form,fixture_difficulty,predicted_points,actual_points
8,P07,Reyansh,MID,6.5,0.848,1,6.94,7
9,P07,Reyansh,MID,6.5,0.826,4,5.57,7
10,P07,Reyansh,MID,6.5,0.874,4,5.94,5
1,P08,Aditya,MID,8.0,0.683,2,7.26,6
2,P08,Aditya,MID,8.0,0.743,5,5.87,7
3,P08,Aditya,MID,8.0,0.771,4,6.37,4
4,P08,Aditya,MID,8.0,0.873,4,6.22,6
5,P08,Aditya,MID,8.0,0.909,1,8.27,8
6,P08,Aditya,MID,8.0,0.859,1,6.63,9
7,P08,Aditya,MID,8.0,0.769,3,7.05,6
8,P08,Aditya,MID,8.0,0.741,5,5.57,5
9,P08,Aditya,MID,8.0,0.734,5,4.88,4
10,P08,Aditya,MID,8.0,0.689,1,8.09,8
1,P09,Ishaan,FWD,8.0,0.663,5,5.36,6
2,P09,Ishaan,FWD,8.0,0.574,1,6.84,6
3,P09,Ishaan,FWD,8.0,0.548,1,9.28,8
4,P09,Ishaan,FWD,8.0,0.523,1,6.83,8
5,P09,Ishaan,FWD,8.0,0.532,4,5.94,7
6,P09,Ishaan,FWD,8.0,0.617,5,5.71,5
7,P09,Ishaan,FWD,8.0,0.502,5,5.41,6
8,P09,Ishaan,FWD,8.0,0.552,5,5.59,7
9,P09,Ishaan,FWD,8.0,0.623,1,7.72,7
10,P09,Ishaan,FWD,8.0,0.639,2,5.97,7
1,P10,Aryan,FWD,7.5,0.656,5,5.02,5
2,P10,Aryan,FWD,7.5,0.765,3,6.57,8
3,P10,Aryan,FWD,7.5,0.833,3,6.47,6
4,P10,Aryan,FWD,7.5,0.714,2,7.22,7
5,P10,Aryan,FWD,7.5,0.758,3,6.83,7
6,P10,Aryan,FWD,7.5,0.765,4,6.37,6
7,P10,Aryan,FWD,7.5,0.783,5,5.53,6
8,P10,Aryan,FWD,7.5,0.698,1,8.55,7
9,P10,Aryan,FWD,7.5,0.663,5,6.37,4
10,P10,Aryan,FWD,7.5,0.785,1,7.24,7
1,P11,Dhruv,FWD,7.5,0.364,4,4.6,3
2,P11,Dhruv,FWD,7.5,0.322,2,5.17,4
3,P11,Dhruv,FWD,7.5,0.296,1,4.98,5
4,P11,Dhruv,FWD,7.5,0.2,5,3.39,4
5,P11,Dhruv,FWD,7.5,0.2,2,6.52,4
6,P11,Dhruv,FWD,7.5,0.215,1,5.75,7
7,P11,Dhruv,FWD,7.5,0.2,3,5.81,5
8,P11,Dhruv,FWD,7.5,0.222,2,5.61,7
9,P11,Dhruv,FWD,7.5,0.248,5,4.24,5
10,P11,Dhruv,FWD,7.5,0.313,3,5.01,4
1,P12,Kunal,FWD,8.5,0.461,1,7.02,8
2,P12,Kunal,FWD,8.5,0.585,4,3.45,5
3,P12,Kunal,FWD,8.5,0.543,1,7.51,9
4,P12,Kunal,FWD,8.5,0.684,3,5.79,6
5,P12,Kunal,FWD,8.5,0.803,3,7.38,7
6,P12,Kunal,FWD,8.5,0.867,2,8.14,6
7,P12,Kunal,FWD,8.5,0.772,2,5.85,7
8,P12,Kunal,FWD,8.5,0.599,4,5.89,4
9,P12,Kunal,FWD,8.5,0.676,2,7.3,7
10,P12,Kunal,FWD,8.5,0.74,4,5.18,7
